------------------------------------------------------------------------------------
导出信息：
姓名：李建伟
支付宝账户：17707483153
起始时间：[2026-01-01 00:00:00]    终止时间：[2026-05-29 23:59:59]
导出交易类型：[全部]
导出时间：[2026-05-29 11:32:47]
共372笔记录
收入：0笔 0.00元
支出：344笔 14989.06元
不计收支：28笔 17150.73元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2026-05-28 12:05:04,餐饮美食,湖南邵阳新又好餐饮有限公司,/,湖南科技职业学院_食堂,支出,14.00,花呗,交易成功,2026052822001429701431251721	,5312660000483300037895214757483218	,,
2026-05-28 09:10:31,教育培训,阿里云,pay***@aliyun-inc.com,Qoder CN （原灵码）个人专业版,支出,59.00,花呗,交易成功,2026052822001429701425436535	,HJPGP14424652760965	,,
2026-05-27 10:51:22,餐饮美食,百亿**选,xia***@126.com,全麦面包早餐速食0减无糖精脂肥黑麦代餐粗粮健康零食整箱吐司片,支出,18.91,花呗,支付成功,20260527300000004429701228186486	,T200P3302598000653035156	,,
2026-05-27 00:47:14,文化休闲,金山WPS,wan***@wps.cn,WPS超级会员,支出,158.00,花呗,交易成功,2026052722001429701421379927	,20260527AktQupDNPN00	,,
2026-05-26 18:30:21,日用百货,长沙市望城区杭商华联超市,/,商品描述,支出,83.59,花呗,交易成功,2026052622001429701416730988	,84126600004836000083620260526991306431	,,
2026-05-26 16:54:46,转账红包,子瑜,181******12,USR211NOCaLnYM1779785659,支出,4.00,余额宝,交易成功,20260526200040011100700096468240	,	,,
2026-05-26 12:14:01,餐饮美食,金里,/,林科大自营2买单,支出,3.80,花呗,交易成功,2026052622001429701416894567	,021266000048250000705701246856260526	,,
2026-05-26 11:55:48,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂浏阳蒸食荟_碰一下时间：2026-05-26 11:55:46,支出,24.00,花呗,交易成功,2026052623001429701411005371	,194498891312126052611554720107	,,
2026-05-25 22:46:41,交通出行,铁路12306,chi***@alipay.com,火车票,支出,1354.50,花呗,交易成功,2026052522001429701412174757	,M2026052529755581	,,
2026-05-25 12:40:05,餐饮美食,古茗,zhe***@gumingnc.com,望城林科大涉外店,支出,14.90,花呗,交易成功,2026052523001429701405889891	,1140134314107434262	,,
2026-05-25 12:38:03,餐饮美食,古茗,gum***@gumingnc.com,【闭眼买】奶茶咖啡4选1,支出,4.70,花呗&团购神券,交易成功,2026052522001429701403121090	,20260525016000001307081221056136	,,
2026-05-25 12:34:49,餐饮美食,老益阳麻辣烫,183******26,收钱码收款,支出,16.00,花呗,交易成功,2026052522001429701407105269	,17796836891222496729700	,,
2026-05-24 13:33:18,文化休闲,tb**9,497***@qq.com,Claude4.6独享代充账号code克劳德订阅官方cluade4.6pro会员计划,支出,139.48,工商银行储蓄卡(4423)&工商银行立减金,等待确认收货,2026052423001129701400674575	,T200P3303972301881035156	,,
2026-05-24 12:39:14,餐饮美食,金里,/,林科大自营1买单,支出,3.80,花呗,交易成功,2026052422001429701459263046	,741266000048250000705645621298260524	,,
2026-05-24 12:13:00,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂浏阳蒸食荟_碰一下时间：2026-05-24 12:12:58,支出,18.00,花呗,交易成功,2026052423001429701457359039	,194498891652126052412130026012	,,
2026-05-23 08:51:54,餐饮美食,明日**店,181***@aliyun.com,【优惠价】即食牛肉酱牛肉卤牛腱减低脂肥早餐代餐卡饱腹健身健康主零食品,支出,49.90,花呗,支付成功,20260523300000003629701219403191	,T200P3301112499759016792	,,
2026-05-22 20:50:53,交通出行,长沙交通投资控股集团有限公司,jtj***@163.com,公交-001105路 上车时间:2026-05-22 20:50:10,支出,2.00,花呗,交易成功,2026052222001429701442429029	,changsha_474AB3007141_125779_90012088222496729700_20260522205010	,,
2026-05-22 20:44:53,交通出行,长沙地铁乘车码,xie***@hncsmtr.com,地铁-五一广场-2026-05-22 20:13:30-金盆丘(铜官窑巴士站)-2026-05-22 20:44:46,支出,4.50,花呗,交易成功,2026052222001429701445198542	,OT20260522032955095720260522204447941	,,
2026-05-22 18:09:13,交通出行,长沙地铁乘车码,xie***@hncsmtr.com,地铁-鸭子铺(马栏山文创园)-2026-05-22 17:35:02-五一广场-2026-05-22 18:09:06,支出,2.70,花呗,交易成功,2026052222001429701443082030	,OT20260522032940984120260522180907309	,,
2026-05-22 12:27:37,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂浏阳蒸食荟_碰一下时间：2026-05-22 12:27:36,支出,13.60,花呗&碰友日立减,交易成功,2026052222001429701445313234	,194498891922126052212273720385	,,
2026-05-21 12:24:29,生活服务,贺姐配钥匙修鞋店,/,移动支付,支出,8.00,花呗,交易成功,2026052123001429701436064074	,69202100314460129720260521301550000002560172356	,,
